mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,11.848926544189453,11.066913604736328,11.960029602050781
mig,0.6,16.491055488586426,27.951836585998535,40.5733585357666
mps-uncap,0.7,14.445304870605469,12.070298194885254,12.530803680419922
mig,0.7,20.440101623535156,35.14456748962402,45.243263244628906
mps-uncap,0.8,21.431446075439453,14.899969100952148,13.72838020324707
mig,0.8,26.450157165527344,43.05744171142578,59.80491638183594
mps-uncap,0.9,48.46072196960449,18.33629608154297,14.74916934967041
mig,0.9,46.34690284729004,89.19084072113037,115.16332626342773
mps-uncap,1.0,3599.177122116089,29.246807098388672,16.2353515625
mig,1.0,782.618522644043,193.25947761535645,1916.4594411849976
mps-uncap,1.1,11873.427629470825,32.79590606689453,17.311811447143555
mig,1.1,3476.898670196533,4220.565676689148,4855.511665344238
mps-uncap,1.2,17119.56787109375,44.73090171813965,19.126296043395996
mig,1.2,5968.332648277283,7053.221225738525,6170.546293258667
mps-uncap,1.3,22292.187094688416,1716.5923118591309,23.752212524414062
mig,1.3,10696.443676948547,10257.512092590332,11152.750492095947
