mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,16.438698768615723,17.721176147460938,14.821481704711914
mig,0.6,13.913941383361816,23.07002544403076,30.719280242919922
mps-uncap,0.7,18.044710159301758,18.807339668273926,15.517544746398924
mig,0.7,13.798832893371582,23.074030876159668,30.628538131713867
mps-uncap,0.8,19.715070724487305,19.830632209777832,15.882730484008789
mig,0.8,13.628959655761719,22.98660278320312,30.721664428710938
mps-uncap,0.9,21.476793289184574,19.87476348876953,16.46039485931397
mig,0.9,13.294458389282227,22.945451736450195,30.88459968566895
mps-uncap,1.0,23.74720573425293,22.33281135559082,17.122793197631836
mig,1.0,13.184785842895508,22.852420806884766,30.944204330444336
mps-uncap,1.1,27.98728942871094,21.60501480102539,17.426395416259766
mig,1.1,13.282561302185059,22.70805835723877,30.93886375427246
mps-uncap,1.2,29.399442672729492,22.122907638549805,17.363548278808594
mig,1.2,13.265371322631836,22.749805450439453,31.031012535095215
mps-uncap,1.3,29.172897338867188,24.242782592773438,17.691802978515625
mig,1.3,13.152933120727539,22.67327308654785,30.977725982666016
