mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,27.691817283630375,23.164749145507812,19.53263282775879
mig,0.6,37.950992584228516,63.7413501739502,83.229660987854
mps-uncap,0.7,36.59343719482422,27.602124214172363,21.10483646392822
mig,0.7,48.79868030548096,80.35266399383545,102.09922790527342
mps-uncap,0.8,59.717416763305664,35.04362106323242,24.576902389526367
mig,0.8,66.92290306091309,107.17558860778809,160.45060157775882
mps-uncap,0.9,166.8249130249024,42.08397865295413,28.985428810119647
mig,0.9,129.37922477722168,217.5618648529054,302.9338598251343
mps-uncap,1.0,6806.819677352906,80.67913055419923,33.99696350097655
mig,1.0,1064.5133018493652,1107.0695400238035,2603.2130002975464
mps-uncap,1.1,20633.09988975525,87.729549407959,39.135074615478516
mig,1.1,5987.569451332092,6806.144833564758,8229.666137695312
mps-uncap,1.2,30031.090545654297,129.33833599090576,41.956186294555664
mig,1.2,11468.428254127502,12430.267810821533,12039.185452461243
mps-uncap,1.3,41011.91806793213,4057.4569702148438,53.12538146972657
mig,1.3,19163.54010105133,19112.43486404419,18456.769466400146
