mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,16.46959781646729,10.15472412109375,7.514047622680664
mig,0.6,25.62522888183594,42.60339736938478,53.545355796813965
mps-uncap,0.7,24.947643280029297,13.500952720642085,8.927273750305176
mig,0.7,36.57972812652588,58.12406539916992,71.99501991271971
mps-uncap,0.8,47.01197147369385,20.116353034973145,10.967254638671875
mig,0.8,54.56089973449707,85.61925888061522,130.76663017272952
mps-uncap,0.9,153.73182296752935,27.46906280517579,15.444731712341312
mig,0.9,117.06080436706544,195.59819698333746,272.9207277297974
mps-uncap,1.0,6791.741037368774,65.0691270828248,19.65055465698242
mig,1.0,1051.455879211426,1085.7100009918213,2573.132038116455
mps-uncap,1.1,20620.42846679688,72.36895561218265,24.671936035156246
mig,1.1,5975.592517852782,6784.906387329102,8199.326992034912
mps-uncap,1.2,30011.410188674927,113.63704204559329,27.193188667297363
mig,1.2,11455.79993724823,12408.963203430176,12008.974719047546
mps-uncap,1.3,40990.24820327759,4038.5185718536372,38.21249008178713
mig,1.3,19151.47168636322,19091.383171081543,18426.509022712708
