mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,54.21924591064453,40.9235954284668,23.936986923217773
mig,0.6,109.3294620513916,139.59264755249023,146.9876766204834
mps-uncap,0.7,96.6029167175293,85.36243438720703,36.75198554992676
mig,0.7,123.75879287719727,186.4323616027832,164.20340538024902
mps-uncap,0.8,175.1079559326172,88.20104598999023,77.60095596313477
mig,0.8,202.02207565307617,262.3748779296875,341.89319610595703
mps-uncap,0.9,430.94706535339355,116.4696216583252,72.48044013977051
mig,0.9,232.8178882598877,515.4006481170654,539.7682189941406
mps-uncap,1.0,8502.00080871582,191.7872428894043,78.50217819213867
mig,1.0,1337.444543838501,1414.9677753448486,2906.6901206970215
mps-uncap,1.1,22927.866458892822,170.973539352417,83.56404304504395
mig,1.1,6932.964324951172,7453.974485397339,9236.24324798584
mps-uncap,1.2,33217.955112457275,273.4384536743164,113.67487907409668
mig,1.2,12864.795923233032,14153.562068939209,13374.515295028687
mps-uncap,1.3,45281.33201599121,4408.187389373779,141.33000373840332
mig,1.3,21270.90334892273,21294.832468032837,20560.258865356445
