mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,8.201122283935547,9.541511535644531,11.260032653808594
mig,0.6,11.746525764465332,20.786643028259277,29.535651206970215
mps-uncap,0.7,8.334636688232422,10.325312614440918,11.684536933898926
mig,0.7,11.781573295593262,20.82037925720215,29.583454132080078
mps-uncap,0.8,9.294509887695312,11.53421401977539,12.353181838989258
mig,0.8,11.852502822875977,20.91693878173828,29.734134674072266
mps-uncap,0.9,11.066198348999023,11.879444122314453,12.918710708618164
mig,0.9,11.99650764465332,21.0798978805542,29.9454927444458
mps-uncap,1.0,11.86513900756836,12.376904487609863,13.64147663116455
mig,1.0,12.08353042602539,21.218061447143555,30.104637145996094
mps-uncap,1.1,12.244701385498047,13.176441192626953,14.097452163696289
mig,1.1,12.115955352783203,21.22020721435547,30.144691467285156
mps-uncap,1.2,12.771129608154297,14.276504516601562,14.144301414489746
mig,1.2,12.130975723266602,21.240234375,30.157089233398438
mps-uncap,1.3,18.475770950317383,17.42863655090332,14.30368423461914
mig,1.3,12.127161026000977,21.229028701782227,30.163288116455078
