mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,32.67550468444824,28.409242630004883,22.692203521728516
mig,0.6,18.37444305419922,27.223587036132812,34.45100784301758
mps-uncap,0.7,33.194780349731445,28.104543685913086,21.1639404296875
mig,0.7,20.16901969909668,28.00726890563965,38.64121437072754
mps-uncap,0.8,34.02090072631836,30.233144760131836,22.97520637512207
mig,0.8,19.72675323486328,27.51445770263672,34.95001792907715
mps-uncap,0.9,36.37814521789551,28.94449234008789,23.515939712524414
mig,0.9,25.87294578552246,30.1668643951416,37.62245178222656
mps-uncap,1.0,35.35890579223633,31.302452087402344,23.483991622924805
mig,1.0,19.7598934173584,28.39970588684082,34.865379333496094
mps-uncap,1.1,37.15991973876953,30.37548065185547,25.3598690032959
mig,1.1,18.32294464111328,28.641939163208008,35.700082778930664
mps-uncap,1.2,38.01679611206055,30.538558959960938,22.801637649536133
mig,1.2,19.452571868896484,28.451204299926758,36.28826141357422
mps-uncap,1.3,44.86870765686035,34.060001373291016,25.829076766967773
mig,1.3,25.604963302612305,29.78205680847168,36.54193878173828
