mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,5.895376205444336,5.937337875366211,8.512020111083984
mig,0.6,11.252880096435547,20.21312713623047,29.202699661254883
mps-uncap,0.7,5.888700485229492,6.049871444702148,8.470296859741211
mig,0.7,11.23189926147461,20.19786834716797,29.236316680908203
mps-uncap,0.8,5.872964859008789,5.940675735473633,8.446931838989258
mig,0.8,11.240482330322266,20.186662673950195,29.22344207763672
mps-uncap,0.9,5.938053131103516,6.081104278564453,8.581399917602539
mig,0.9,11.31439208984375,20.334720611572266,29.285192489624023
mps-uncap,1.0,5.936861038208008,6.424665451049805,8.83936882019043
mig,1.0,11.310815811157227,20.411252975463867,29.255151748657227
mps-uncap,1.1,5.936861038208008,7.166624069213867,9.384393692016602
mig,1.1,11.419534683227539,20.45607566833496,29.392480850219727
mps-uncap,1.2,5.996465682983398,6.980657577514648,9.37509536743164
mig,1.2,11.35706901550293,20.54142951965332,29.293298721313477
mps-uncap,1.3,6.294012069702148,7.164478302001953,9.581804275512695
mig,1.3,11.428356170654297,20.522594451904297,29.482126235961914
