mode,load,0_mobilenet_v2-32,1_squeezenet1_0-32,2_vgg13-16
mps-uncap,0.6,1525.6423877796747,870.6833736345629,320.14419027315273
mig,0.6,1519.1166241880942,886.8681450117201,322.4220853251358
mps-uncap,0.7,1800.36684824226,997.2090960326549,359.3271967438583
mig,0.7,1799.2421706611415,1008.9632964468043,343.77992815328633
mps-uncap,0.8,2059.599152230778,1172.170149619496,412.01853668006095
mig,0.8,2055.518586296316,1157.553789624365,408.96819957792826
mps-uncap,0.9,2297.768180234015,1300.7454682851617,479.15976840505743
mig,0.9,2315.783889053477,1344.1427823659928,475.3177545644018
mps-uncap,1.0,2389.844301249414,1496.614384365556,528.0606562945829
mig,1.0,2581.3740173091546,1430.3766648307444,525.917507257462
mps-uncap,1.1,2126.9868005689104,1628.4276360020235,577.4949495524983
mig,1.1,2578.362576171447,1479.821826371367,525.4602391771446
mps-uncap,1.2,1957.3637818733816,1767.5370988902546,617.574485935367
mig,1.2,2575.0998223891283,1479.4188451532057,526.7388927997636
mps-uncap,1.3,1700.5066291423252,1890.6450254847011,698.4457041730085
mig,1.3,2582.4706257206335,1481.1454646389316,526.6370294314281
