mode,load,0_inception_v3-16,1_squeezenet1_1-2,2_squeezenet1_1-4
mps-uncap,0.8,11.870384216308594,5.114078521728516,5.101442337036133
mps-uncap,0.9,13.749122619628906,4.184722900390625,4.533052444458008
mps-uncap,1.0,13.245820999145508,9.91511344909668,8.554697036743164
mps-uncap,0.5,14.129161834716797,4.291772842407227,4.929542541503906
mps-uncap,0.6,14.064788818359375,4.975557327270508,4.314661026000977
mps-uncap,0.7,14.267444610595703,5.04755973815918,4.411458969116211
mps-uncap,0.1,24.213075637817383,6.7768096923828125,7.335424423217773
mps-uncap,0.2,21.387338638305664,7.494211196899414,6.295680999755859
mps-uncap,0.3,18.248558044433594,7.8334808349609375,8.572578430175781
mps-uncap,0.4,17.10820198059082,6.344795227050781,6.470203399658203
