mode,load,0_inception_v3-16,1_squeezenet1_1-2,2_squeezenet1_1-4
mps-uncap,0.8,0.01239776611328125,0.0095367431640625,0.009059906005859375
mps-uncap,0.9,0.012874603271484375,0.011444091796875,0.010251998901367188
mps-uncap,1.0,0.013113021850585938,0.011920928955078125,0.011920928955078125
mps-uncap,0.5,0.010013580322265625,0.008821487426757812,0.009059906005859375
mps-uncap,0.6,0.011682510375976562,0.008821487426757812,0.009059906005859375
mps-uncap,0.7,0.011682510375976562,0.008821487426757812,0.009059906005859375
mps-uncap,0.1,0.012636184692382812,0.013589859008789062,0.0133514404296875
mps-uncap,0.2,0.011920928955078125,0.011205673217773438,0.011444091796875
mps-uncap,0.3,0.012159347534179688,0.008821487426757812,0.0095367431640625
mps-uncap,0.4,0.01239776611328125,0.009059906005859375,0.009059906005859375
