mode,load,0_inception_v3-16,1_squeezenet1_1-2,2_squeezenet1_1-4
mps-uncap,0.8,8.957862854003906,1.7979145050048828,1.8157958984375
mps-uncap,0.9,9.996175765991211,1.7611980438232422,1.8045902252197266
mps-uncap,1.0,10.027170181274414,1.7552375793457031,1.8374919891357422
mps-uncap,0.5,9.490609169006348,1.7881393432617188,1.8925666809082031
mps-uncap,0.6,9.388089179992676,1.776576042175293,1.7817020416259766
mps-uncap,0.7,9.430885314941406,1.7709732055664062,1.775979995727539
mps-uncap,0.1,16.2431001663208,3.797769546508789,3.9033889770507812
mps-uncap,0.2,12.568235397338867,3.528118133544922,3.6628246307373047
mps-uncap,0.3,10.389089584350586,2.475261688232422,2.661466598510742
mps-uncap,0.4,9.908199310302734,1.844644546508789,2.03859806060791
