mode,load,0_inception_v3-16,1_squeezenet1_1-2,2_squeezenet1_1-4
mps-uncap,0.8,8.530855178833008,1.6634464263916016,1.6624927520751953
mps-uncap,0.9,8.651494979858398,1.6598701477050781,1.6663074493408203
mps-uncap,1.0,8.655786514282227,1.6512870788574219,1.6894340515136719
mps-uncap,0.5,8.510828018188477,1.6808509826660156,1.680612564086914
mps-uncap,0.6,8.49771499633789,1.6527175903320312,1.6553401947021484
mps-uncap,0.7,8.50534439086914,1.6508102416992188,1.6634464263916016
mps-uncap,0.1,8.579730987548828,1.9893646240234375,1.7657279968261719
mps-uncap,0.2,8.603572845458984,1.6794204711914062,1.7366409301757812
mps-uncap,0.3,8.54802131652832,1.6489028930664062,1.672506332397461
mps-uncap,0.4,8.558034896850586,1.6467571258544922,1.6710758209228516
