mode,load,0_inception_v3-16,1_squeezenet1_1-2,2_squeezenet1_1-4
mps-uncap,0.8,1412.8036597015384,937.251330491171,1779.6045070272783
mps-uncap,0.9,1597.8984276657181,1039.5757355160922,1971.1485452940074
mps-uncap,1.0,1593.362714659604,1048.1771998472743,1986.1156056848588
mps-uncap,0.5,890.3648936708996,595.025818904716,1088.9756958766247
mps-uncap,0.6,1105.6750948623471,705.6614917015434,1302.76859271858
mps-uncap,0.7,1275.4722271641485,818.8311059732788,1552.3068670516786
mps-uncap,0.1,184.70422810687634,122.63872919055054,224.19673816148998
mps-uncap,0.2,367.04318583011235,236.3123093146565,439.9954303450035
mps-uncap,0.3,539.8000499596951,356.4123608781267,665.488127356764
mps-uncap,0.4,694.8338350032429,480.807984402445,906.5766403111702
