mode,load,0_inception_v3-8,1_resnet101-8,2_squeezenet1_0-8
mps-uncap,0.8,11.388261318206785,13.395943641662598,3.9038395881652828
mps-uncap,0.9,11.459851264953613,13.60548734664917,3.9730072021484375
mps-uncap,1.0,12.47410535812378,12.847185134887695,4.0848970413208
mps-uncap,0.5,12.644805908203123,13.498291969299322,3.4387922286987305
mps-uncap,0.6,12.83534049987793,13.32892894744873,3.7384915351867676
mps-uncap,0.7,11.10313415527344,13.000917434692383,3.8218498229980473
mps-uncap,0.1,13.66058588027954,13.505101203918457,3.1711935997009273
mps-uncap,0.2,13.959550857543945,13.874146938323975,3.1944799423217773
mps-uncap,0.3,14.431991577148436,14.37612533569336,3.31429481506348
mps-uncap,0.4,13.566193580627441,14.228904247283932,3.518204689025877
