mode,load,0_inception_v3-8,1_resnet101-8,2_squeezenet1_0-8
mps-uncap,0.8,89.76387977600098,108.08753967285156,45.66454887390137
mps-uncap,0.9,188.9655590057373,151.95584297180176,78.1714916229248
mps-uncap,1.0,3720.5562591552734,442.3389434814453,249.6168613433838
mps-uncap,0.5,34.83724594116211,28.635263442993164,12.48931884765625
mps-uncap,0.6,35.10141372680664,48.5687255859375,17.464160919189453
mps-uncap,0.7,73.96125793457031,74.06139373779297,21.775007247924805
mps-uncap,0.1,18.50271224975586,12.621164321899414,4.915714263916016
mps-uncap,0.2,25.538921356201172,21.013736724853516,5.310535430908203
mps-uncap,0.3,36.96107864379883,30.18808364868164,6.209850311279297
mps-uncap,0.4,40.956735610961914,28.41663360595703,10.811567306518555
