mode,load,0_inception_v3-4,1_squeezenet1_0-4,2_vgg19-4
mps-uncap,0.8,270.0609563969767,966.8975712124558,621.8010767131562
mps-uncap,0.9,305.5362839191258,1072.3794753583231,714.1805590314515
mps-uncap,1.0,340.8468023516084,1215.8437741770379,801.7194568067329
mps-uncap,0.5,168.04495958994187,601.5907963863306,396.3778420107539
mps-uncap,0.6,206.02837946798047,720.3050498812607,480.80384512994056
mps-uncap,0.7,236.86670784053084,844.7924531415508,562.5943265744919
mps-uncap,0.1,30.80085620529695,124.32406675888234,81.34508590728498
mps-uncap,0.2,67.11026190482147,245.41349161207825,154.7321909959558
mps-uncap,0.3,100.50876238815722,358.13700896116933,228.60316662450126
mps-uncap,0.4,139.28745191349287,486.064122732386,321.6148727341669
