mode,load,0_inception_v3-4,1_squeezenet1_0-4,2_vgg19-4
mps-uncap,0.8,4.739046096801758,1.1522769927978516,3.283977508544922
mps-uncap,0.9,4.85539436340332,1.1539459228515625,3.299713134765625
mps-uncap,1.0,4.7969818115234375,1.157522201538086,3.3063888549804688
mps-uncap,0.5,4.87828254699707,1.1565685272216797,3.281116485595703
mps-uncap,0.6,4.807949066162109,1.15203857421875,3.284454345703125
mps-uncap,0.7,4.889726638793945,1.1572837829589844,3.2956600189208984
mps-uncap,0.1,4.912614822387695,1.1546611785888672,3.2854080200195312
mps-uncap,0.2,4.833221435546875,1.1563301086425781,3.271818161010742
mps-uncap,0.3,4.863977432250977,1.1546611785888672,3.2796859741210938
mps-uncap,0.4,4.8465728759765625,1.1587142944335938,3.2804012298583984
