mode,load,0_densenet169-4,1_efficientnet_b7-8,2_squeezenet1_1-16
mps-uncap,0.8,31.823277473449707,67.49176979064943,12.053728103637692
mps-uncap,0.9,77.23379135131836,168.42222213745117,21.27265930175781
mps-uncap,1.0,252.18496322631833,403.09691429138184,681.8054914474487
mps-uncap,0.5,14.710259437561037,17.21348762512207,2.931594848632813
mps-uncap,0.6,15.264463424682617,26.939868927001953,4.647779464721679
mps-uncap,0.7,21.6005802154541,39.89715576171876,5.613088607788086
mps-uncap,0.1,0.9937286376953125,8.241081237792965,0.06556510925292969
mps-uncap,0.2,9.067058563232422,7.468700408935547,0.8543491363525394
mps-uncap,0.3,13.068866729736337,13.93980979919434,1.9696235656738283
mps-uncap,0.4,12.63821125030518,14.760255813598633,2.3894071578979497
