mode,load,0_densenet169-4,1_efficientnet_b7-8,2_squeezenet1_1-16
mps-uncap,0.8,124.33195114135742,198.15325736999512,55.97186088562012
mps-uncap,0.9,233.16121101379395,370.8205223083496,64.07427787780762
mps-uncap,1.0,687.2274875640869,613.778829574585,805.3872585296631
mps-uncap,0.5,43.8382625579834,49.964189529418945,13.150691986083984
mps-uncap,0.6,59.47685241699219,74.27310943603516,35.333871841430664
mps-uncap,0.7,63.47799301147461,210.4353904724121,29.447555541992188
mps-uncap,0.1,23.944616317749023,45.35031318664551,4.251003265380859
mps-uncap,0.2,42.83761978149414,54.949045181274414,6.807565689086914
mps-uncap,0.3,42.04607009887695,54.21924591064453,9.221792221069336
mps-uncap,0.4,39.60442543029785,41.35417938232422,11.842489242553711
