mode,load,0_densenet169-4,1_efficientnet_b7-8,2_squeezenet1_1-16
mps-uncap,0.8,148.138373199749,221.84413015578497,3598.64055687606
mps-uncap,0.9,169.21793562276596,259.15722188790284,4001.7735955799794
mps-uncap,1.0,191.35505501372248,282.82778137383167,4419.833096547285
mps-uncap,0.5,94.62698817928381,141.37328243968994,2241.758469754196
mps-uncap,0.6,109.85359751056622,178.43890287522592,2601.574395323791
mps-uncap,0.7,128.35849112803513,196.04243710980614,3018.9436351892696
mps-uncap,0.1,18.39283379019911,29.29713366939823,441.78005603227575
mps-uncap,0.2,37.351251422649554,51.29695340470136,864.8049964159568
mps-uncap,0.3,56.664121700153416,85.20118419999791,1304.7391386554598
mps-uncap,0.4,74.71238059007425,113.17712808221349,1810.2880512429754
