mode,load,0_densenet169-4,1_efficientnet_b7-8,2_squeezenet1_1-16
mps-uncap,0.8,9.774446487426758,15.404701232910156,2.0372867584228516
mps-uncap,0.9,9.596824645996094,15.627145767211914,2.0377635955810547
mps-uncap,1.0,10.547399520874023,16.362428665161133,2.0406246185302734
mps-uncap,0.5,9.67550277709961,15.372037887573242,2.041339874267578
mps-uncap,0.6,9.856939315795898,15.250682830810547,2.028226852416992
mps-uncap,0.7,9.854316711425781,15.376806259155273,2.0263195037841797
mps-uncap,0.1,9.891748428344727,15.314579010009766,2.0291805267333984
mps-uncap,0.2,9.775161743164062,15.423059463500977,2.0284652709960938
mps-uncap,0.3,9.748697280883789,15.42043685913086,2.0368099212646484
mps-uncap,0.4,9.922266006469727,15.25568962097168,2.0377635955810547
