mode,load,0_densenet169-4,1_efficientnet_b7-8,2_squeezenet1_1-16
mps-uncap,0.8,93.10775995254517,186.55793190002447,32.428483963012674
mps-uncap,0.9,204.54440116882327,342.78591156005854,45.72940826416015
mps-uncap,1.0,560.8448362350463,604.1412711143496,779.0956735610962
mps-uncap,0.5,43.734631538391085,59.19962167739874,10.415070056915283
mps-uncap,0.6,46.60687446594239,76.45257711410521,16.094784736633297
mps-uncap,0.7,60.99484682083124,116.58257007598895,17.33424663543701
mps-uncap,0.1,41.778504848480225,51.92415952682496,4.989941120147709
mps-uncap,0.2,45.63851356506338,50.52124261856078,6.00261688232422
mps-uncap,0.3,44.00870323181152,46.74844980239868,7.555437088012698
mps-uncap,0.4,40.43772935867309,49.09127950668335,8.851113319396967
