mode,load,0_efficientnet_b5-8,1_resnet50-2,2_vgg13-8
mps-uncap,0.8,36.399316787719734,12.358427047729492,5.845236778259277
mps-uncap,0.9,39.03012275695801,13.497209548950195,6.043291091918945
mps-uncap,1.0,40.384817123413086,14.355659484863281,6.244087219238281
mps-uncap,0.5,25.48980712890625,9.446477890014648,5.488324165344238
mps-uncap,0.6,28.38988304138184,9.668970108032227,5.554485321044922
mps-uncap,0.7,31.731033325195312,11.14635467529297,5.721998214721681
mps-uncap,0.1,23.52466583251953,7.743620872497559,4.746246337890625
mps-uncap,0.2,23.235368728637695,7.8424930572509775,4.935741424560547
mps-uncap,0.3,23.977160453796387,8.42709541320801,5.172204971313477
mps-uncap,0.4,24.77741241455078,9.048223495483398,5.394220352172852
