mode,load,0_efficientnet_b5-8,1_resnet50-2,2_vgg13-8
mps-uncap,0.8,112.49589443206779,40.152740478515355,35.26492118835449
mps-uncap,0.9,194.23282384872434,87.56691932678235,90.94608783721925
mps-uncap,1.0,988.7100410461425,1401.413917541504,257.0497894287108
mps-uncap,0.5,30.83348274230957,17.39858627319336,13.274013996124227
mps-uncap,0.6,34.33760881423957,17.888998985290527,17.133049964904785
mps-uncap,0.7,51.17561340332031,23.518571853637756,22.097749710083004
mps-uncap,0.1,16.738944053649913,4.712631702423095,4.3521928787231445
mps-uncap,0.2,17.385141849517865,6.947565078735356,4.680335521697998
mps-uncap,0.3,20.738186836242665,10.047159194946271,7.426393032073975
mps-uncap,0.4,25.30729770660401,12.467460632324217,9.415614604949958
