mode,load,0_mobilenet_v3_large-2,1_vgg11-16,2_vgg13-32
mps-uncap,0.8,48.57587814331055,20.184755325317383,23.281335830688477
mps-uncap,0.9,43.572425842285156,20.166397094726562,23.105382919311523
mps-uncap,1.0,43.71452331542969,21.534204483032227,23.40984344482422
mps-uncap,0.5,38.79189491271973,19.836902618408203,21.881818771362305
mps-uncap,0.6,42.50597953796387,19.420862197875977,22.508859634399414
mps-uncap,0.7,44.77834701538086,19.939422607421875,22.43638038635254
mps-uncap,0.1,19.561767578125,18.40376853942871,19.3023681640625
mps-uncap,0.2,26.273488998413086,18.424272537231445,19.97065544128418
mps-uncap,0.3,34.41452980041504,18.745899200439453,20.463228225708008
mps-uncap,0.4,42.43206977844238,19.188404083251953,21.726131439208984
