mode,load,0_mobilenet_v3_large-2,1_vgg11-16,2_vgg13-32
mps-uncap,0.8,12.605667114257812,12.01021671295166,19.55556869506836
mps-uncap,0.9,19.037246704101562,16.25049114227295,20.56598663330078
mps-uncap,1.0,31.444787979125977,17.51887798309326,21.378755569458008
mps-uncap,0.5,7.357001304626465,5.686759948730469,15.350341796875
mps-uncap,0.6,8.16488265991211,5.887031555175781,16.88098907470703
mps-uncap,0.7,8.955955505371094,8.633613586425781,18.482685089111328
mps-uncap,0.1,7.190704345703125,5.496978759765625,14.582157135009766
mps-uncap,0.2,7.540106773376465,5.50079345703125,14.575719833374023
mps-uncap,0.3,7.443428039550781,5.477786064147949,14.655590057373047
mps-uncap,0.4,7.1746110916137695,5.512475967407227,14.796733856201172
