mode,load,0_mobilenet_v3_large-2,1_vgg11-16,2_vgg13-32
mps-uncap,0.8,41.425767279429664,738.0774153175479,1151.4498437889276
mps-uncap,0.9,45.510522967010985,808.325104464757,1317.6172712739644
mps-uncap,1.0,49.270321034100945,883.6298661881897,1483.3314262400027
mps-uncap,0.5,26.06534984996492,452.39709262156873,708.4854979180141
mps-uncap,0.6,29.873451157028107,560.4575058955674,872.5642789821735
mps-uncap,0.7,36.855232584774214,631.9007732273545,1028.3827929051752
mps-uncap,0.1,4.812269134812362,84.65392662129312,151.5891012721638
mps-uncap,0.2,10.78375376397046,183.80395431905671,306.08109838405335
mps-uncap,0.3,15.409065191910457,286.406503875277,441.4750454395871
mps-uncap,0.4,20.110949189019063,359.9502796794192,581.3169625007014
