mode,load,0_resnet101-8,1_resnet101-8
mig,0.1,0.009775161743164062,0.01239776611328125
mig,0.2,0.011682510375976562,0.011920928955078125
mig,0.3,0.011444091796875,0.011444091796875
mig,0.4,0.010013580322265625,0.011444091796875
mig,0.5,0.010251998901367188,0.010013580322265625
mig,0.6,0.010251998901367188,0.011444091796875
mig,0.7,0.009775161743164062,0.009775161743164062
mig,0.8,0.011920928955078125,0.0095367431640625
mig,0.9,0.011920928955078125,0.015974044799804688
mig,1.0,0.016927719116210938,0.016450881958007812
