mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,51.416873931884766,37.04643249511719,92.09895133972168
mps-uncap,0.9,97.92780876159668,77.95548439025879,131.4070224761963
mps-uncap,1.0,376.0194778442383,303.33590507507324,463.1948471069336
mps-uncap,0.5,31.32915496826172,28.128862380981445,44.50511932373047
mps-uncap,0.6,30.704736709594727,30.61676025390625,40.839433670043945
mps-uncap,0.7,47.82462120056152,34.116506576538086,49.24464225769043
mps-uncap,0.1,14.058113098144531,18.09096336364746,18.7227725982666
mps-uncap,0.2,18.74852180480957,20.6296443939209,22.75371551513672
mps-uncap,0.3,21.841764450073242,22.3233699798584,29.185056686401367
mps-uncap,0.4,25.4061222076416,25.31719207763672,29.558897018432617
