mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,3.0317306518554688,2.243518829345703,4.819631576538086
mps-uncap,0.9,3.0312538146972656,2.218484878540039,4.825115203857422
mps-uncap,1.0,3.046751022338867,2.1965503692626953,4.804134368896484
mps-uncap,0.5,3.0364990234375,2.173900604248047,4.839181900024414
mps-uncap,0.6,3.0364990234375,2.134561538696289,4.805803298950195
mps-uncap,0.7,3.0345916748046875,2.2504329681396484,4.813909530639648
mps-uncap,0.1,3.033876419067383,2.293109893798828,4.830360412597656
mps-uncap,0.2,3.057241439819336,2.225637435913086,4.827022552490234
mps-uncap,0.3,3.0336380004882812,2.2432804107666016,4.802227020263672
mps-uncap,0.4,3.036975860595703,2.1758079528808594,4.829645156860352
