mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,7.988929748535156,7.336139678955078,9.860754013061523
mps-uncap,0.9,7.808685302734375,7.478952407836914,9.39178466796875
mps-uncap,1.0,8.66246223449707,7.919073104858398,9.83881950378418
mps-uncap,0.5,7.859706878662109,7.413625717163086,9.642601013183594
mps-uncap,0.6,7.656574249267578,7.594585418701172,9.139537811279297
mps-uncap,0.7,7.867336273193359,7.594823837280273,9.645700454711914
mps-uncap,0.1,7.437229156494141,9.594440460205078,8.8653564453125
mps-uncap,0.2,7.795572280883789,7.706165313720703,8.312463760375977
mps-uncap,0.3,7.541894912719727,8.112668991088867,9.081602096557617
mps-uncap,0.4,8.690834045410156,7.753849029541016,8.922100067138672
