mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,1893.3967217093805,1053.6596379083692,2960.9206550545327
mps-uncap,0.9,2237.930829331297,1223.196010024469,3366.6503732171573
mps-uncap,1.0,2463.554470478677,1328.397525274618,3775.2853499381854
mps-uncap,0.5,1205.7502122161898,654.7407520536701,1850.1052765334732
mps-uncap,0.6,1448.1865882268137,781.7622611156111,2176.8965640079537
mps-uncap,0.7,1688.114293294355,907.1460360940569,2616.268686433407
mps-uncap,0.1,243.7986824935641,138.36872282191902,390.5643760003284
mps-uncap,0.2,519.1950085222253,272.70337971043574,754.3495699441006
mps-uncap,0.3,734.276671360639,381.0314588372946,1120.9658093700825
mps-uncap,0.4,1005.1956711807878,526.6632685133617,1490.462753382591
