mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,3.045320510864258,2.292156219482422,4.840850830078125
mps-uncap,0.9,3.0498504638671875,2.2766590118408203,4.846334457397461
mps-uncap,1.0,3.0717849731445312,2.2416114807128906,4.831790924072266
mps-uncap,0.5,3.0515193939208984,2.203226089477539,4.859685897827148
mps-uncap,0.6,3.0519962310791016,2.202272415161133,4.824399948120117
mps-uncap,0.7,3.050565719604492,2.2993087768554688,4.828691482543945
mps-uncap,0.1,3.0536651611328125,2.3512840270996094,4.849672317504883
mps-uncap,0.2,3.072500228881836,2.272367477416992,4.850149154663086
mps-uncap,0.3,3.0527114868164062,2.263307571411133,4.823446273803711
mps-uncap,0.4,3.050088882446289,2.222299575805664,4.847288131713867
