mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,35.292091369628906,24.439821243286122,56.6812539100647
mps-uncap,0.9,71.84067249298099,49.131875038146894,90.15403747558585
mps-uncap,1.0,341.76800251007074,260.2589035034179,431.6345405578614
mps-uncap,0.5,18.86789321899414,18.366229534149173,22.495341300964377
mps-uncap,0.6,19.70538377761837,19.719221591949477,28.777456283569308
mps-uncap,0.7,26.921672821044933,22.12689161300662,34.428596496582
mps-uncap,0.1,10.340178012847907,11.059064865112285,13.729941844940184
mps-uncap,0.2,13.207232952117923,13.287343978881838,15.791912078857436
mps-uncap,0.3,15.866184234619162,14.72733974456785,16.992044448852546
mps-uncap,0.4,16.691980361938473,16.501126289367672,21.184840202331536
