mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,30.11181831359864,19.851393699645968,48.8310647010803
mps-uncap,0.9,66.02745056152348,43.98523330688464,82.03199148178099
mps-uncap,1.0,335.4854941368103,254.29008960723877,423.71625900268555
mps-uncap,0.5,13.293819427490229,13.628294467926086,15.609347820281997
mps-uncap,0.6,14.760031700134261,15.086638927459784,21.11913442611694
mps-uncap,0.7,21.80764675140381,17.674703598022475,27.223463058471616
mps-uncap,0.1,4.887986183166511,5.546083450317374,6.777918338775633
mps-uncap,0.2,7.562828063964846,7.776441574096683,9.077434539794924
mps-uncap,0.3,9.742176532745367,9.084963798522939,10.466098785400403
mps-uncap,0.4,11.161632537841792,11.297354698181138,14.096999168395996
