mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,5.257606506347656,4.188299179077148,7.268309593200684
mps-uncap,0.9,5.742549896240234,4.946708679199219,7.911324501037598
mps-uncap,1.0,6.490468978881836,5.875587463378906,8.25643539428711
mps-uncap,0.5,5.586385726928711,5.300402641296387,6.801724433898926
mps-uncap,0.6,5.279541015625,4.867792129516602,6.72304630279541
mps-uncap,0.7,4.927396774291992,4.335522651672363,6.793975830078125
mps-uncap,0.1,5.865693092346191,5.772829055786133,7.242441177368164
mps-uncap,0.2,5.815386772155762,5.690813064575195,7.04193115234375
mps-uncap,0.3,6.024599075317383,5.647897720336914,6.947040557861328
mps-uncap,0.4,5.735635757446289,5.537986755371094,7.094860076904297
