mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,45.75085639953613,32.43684768676758,83.64653587341309
mps-uncap,0.9,91.30072593688965,72.3414421081543,123.53348731994629
mps-uncap,1.0,369.10438537597656,296.96011543273926,455.1117420196533
mps-uncap,0.5,24.814367294311523,23.353099822998047,37.543535232543945
mps-uncap,0.6,24.068355560302734,25.179624557495117,33.5235595703125
mps-uncap,0.7,42.775630950927734,31.04233741760254,43.54715347290039
mps-uncap,0.1,8.614063262939453,12.869596481323242,12.292861938476562
mps-uncap,0.2,13.198137283325195,15.20681381225586,16.16358757019043
mps-uncap,0.3,15.394926071166992,16.83807373046875,21.849393844604492
mps-uncap,0.4,19.919157028198242,19.512414932250977,22.747278213500977
