mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,6.771612167358398,5.922412872314453,8.766627311706543
mps-uncap,0.9,6.897687911987305,6.4727783203125,8.508443832397461
mps-uncap,1.0,7.056474685668945,6.701421737670899,8.60438346862793
mps-uncap,0.5,6.567931175231934,6.057810783386231,8.104205131530762
mps-uncap,0.6,6.565928459167481,6.092286109924316,8.011651039123535
mps-uncap,0.7,6.674718856811523,6.208252906799319,8.151578903198242
mps-uncap,0.1,6.342887878417969,6.26683235168457,7.73012638092041
mps-uncap,0.2,6.451010704040527,6.119394302368165,7.565736770629883
mps-uncap,0.3,6.539106369018555,6.185770034790039,7.615566253662109
mps-uncap,0.4,6.4510345458984375,6.203746795654297,7.876396179199219
