mode,load,0_mobilenet_v2-16,1_mobilenet_v2-8,2_mobilenet_v3_large-32
mps-uncap,0.8,7.422914505004883,6.810579299926758,9.518263339996338
mps-uncap,0.9,7.4518847465515154,7.192983627319335,8.909947872161865
mps-uncap,1.0,7.580828666687012,7.306332588195801,8.944425582885744
mps-uncap,0.5,7.209506034851074,6.7947292327880895,8.844149112701416
mps-uncap,0.6,7.208466529846186,6.992976665496827,8.574919700622559
mps-uncap,0.7,7.315630912780763,7.14364051818848,8.666181564331055
mps-uncap,0.1,6.707561016082764,6.818180084228515,8.352673053741455
mps-uncap,0.2,6.944942474365235,6.664419174194337,8.083572387695312
mps-uncap,0.3,7.01887607574463,7.024946212768552,8.40601921081543
mps-uncap,0.4,7.107148170471191,6.993188858032226,8.34510087966919
