mode,load,0_resnet34-16,1_resnet34-16,2_resnet34-8
mps-uncap,0.8,3.9167404174804688,3.9048194885253906,3.4475326538085938
mps-uncap,0.9,4.05120849609375,4.0435791015625,3.4630298614501953
mps-uncap,1.0,3.978252410888672,4.000425338745117,3.7374496459960938
mps-uncap,0.5,3.885030746459961,3.889799118041992,3.4279823303222656
mps-uncap,0.6,3.7658214569091797,3.8154125213623047,3.439664840698242
mps-uncap,0.7,3.7169456481933594,3.918886184692383,3.503084182739258
mps-uncap,0.1,5.335569381713867,4.835605621337891,5.173683166503906
mps-uncap,0.2,3.92913818359375,3.9544105529785156,3.4513473510742188
mps-uncap,0.3,3.879070281982422,3.8805007934570312,3.437042236328125
mps-uncap,0.4,3.8764476776123047,3.869295120239258,3.4704208374023438
