mode,load,0_resnet34-16,1_resnet34-16,2_resnet34-8
mps-uncap,0.8,1637.6772497236439,1640.7710778057128,889.9565546334317
mps-uncap,0.9,1906.8659363820032,1901.3946620212637,991.2808616145342
mps-uncap,1.0,1998.2554639946288,1869.63877465774,1018.0119973477746
mps-uncap,0.5,1014.0817955472473,1057.1337060204096,566.8134539922406
mps-uncap,0.6,1222.6193199533805,1300.1339365375386,665.9411757388771
mps-uncap,0.7,1460.9556059946708,1461.4548776651948,789.4278907387596
mps-uncap,0.1,208.40843001802835,220.83540957944837,113.16215579840434
mps-uncap,0.2,396.1555205359348,431.7210839447407,223.5028227907402
mps-uncap,0.3,617.5439479984666,618.3009229915087,336.20597821548006
mps-uncap,0.4,831.7961043232623,835.8719219175687,434.93728753312934
