mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,1.0,844.5578398161709,1725.2250924377367,384.1733099122336
mig,1.0,559.765953736036,2281.4980388449862,781.2229249247038
