mode,load,0_resnet152-32,1_alexnet-4,2_inception_v3-8
mps-uncap,1.0,38.935890197753906,4.5544862747192365,25.116264820098877
mig,1.0,59.80942249298096,2.025876045227051,11.201777458190916
