mode,load,0_densenet121-16,1_mobilenet_v2-8,2_vgg19-16
mps-uncap,0.8,90.88323116302489,26.45564079284668,52.68132686614991
mps-uncap,0.9,287.98127174377447,48.85792732238768,129.38356399536133
mps-uncap,1.0,2615.436792373657,1621.4133739471436,631.4525127410889
mps-uncap,0.5,40.15636444091797,13.81230354309082,25.93550682067871
mps-uncap,0.6,45.04046440124513,16.39690399169921,32.74078369140626
mps-uncap,0.7,63.243341445922866,19.648718833923343,40.47400951385499
mps-uncap,0.1,20.07651329040528,6.476712226867677,11.843347549438482
mps-uncap,0.2,22.597265243530273,9.557366371154785,14.274358749389648
mps-uncap,0.3,28.27062606811525,10.437798500061035,19.45557594299316
mps-uncap,0.4,32.52110481262208,11.391973495483402,21.275854110717773
