mode,load,0_densenet121-16,1_mobilenet_v2-8,2_vgg19-16
mps-uncap,0.8,9.130001068115234,2.206087112426758,10.66732406616211
mps-uncap,0.9,9.29880142211914,2.198457717895508,10.703325271606445
mps-uncap,1.0,9.308815002441406,2.2292137145996094,10.746240615844727
mps-uncap,0.5,9.146928787231445,2.212047576904297,10.678529739379883
mps-uncap,0.6,9.124755859375,2.216339111328125,10.671615600585938
mps-uncap,0.7,9.033441543579102,2.1550655364990234,10.66136360168457
mps-uncap,0.1,9.185075759887695,2.2389888763427734,10.644912719726562
mps-uncap,0.2,9.06825065612793,2.1903514862060547,10.637998580932617
mps-uncap,0.3,9.083986282348633,2.2478103637695312,10.684490203857422
mps-uncap,0.4,9.171247482299805,2.2051334381103516,10.706424713134766
