mode,load,0_densenet121-16,1_mobilenet_v2-8,2_vgg19-16
mps-uncap,0.8,256.61587051253287,482.7987065848163,891.2908685224525
mps-uncap,0.9,303.9063234482498,547.5543762505057,1024.173077511095
mps-uncap,1.0,311.53360777725817,584.8115773373945,1150.897714560892
mps-uncap,0.5,155.22197013046033,304.8561818281842,581.2311950013881
mps-uncap,0.6,189.80438667094356,347.695739038085,680.2607017545092
mps-uncap,0.7,223.79496051245832,407.8161062744362,794.3877407411326
mps-uncap,0.1,29.230547400054242,63.8983664732988,119.38087144028398
mps-uncap,0.2,71.9600689157125,125.12245014064767,231.09621853178052
mps-uncap,0.3,96.66014708712606,173.6502077090773,328.07001879343056
mps-uncap,0.4,131.19809968215006,237.2245814551677,444.8517320907237
