mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,1.0,20.705699920654297,16.865015029907227,15.674352645874023
mig,1.0,23.334980010986328,11.681318283081055,12.615680694580078
