mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,1.0,900.864209724962,481.6446030315217,1060.9039892324188
mig,1.0,916.5404743357204,495.55685090403836,1140.0837984254615
