mode,load,0_inception_v3-8,1_mobilenet_v2-2,2_squeezenet1_0-2
mps-uncap,1.0,9.106588363647461,4.286050796508789,2.0437240600585938
mig,1.0,8.935928344726562,4.13060188293457,1.802206039428711
