mode,load,0_squeezenet1_0-8,1_squeezenet1_0-8,2_squeezenet1_0-8,3_squeezenet1_0-8
mig,0.1,5.16057014465332,5.372047424316406,5.174875259399414,10.179758071899414
mig,0.2,5.118846893310547,5.166530609130859,5.165576934814453,10.149240493774414
mig,0.3,5.078315734863281,5.115032196044922,5.114078521728516,10.09368896484375
mig,0.4,5.068063735961914,5.105495452880859,5.116939544677734,10.080575942993164
mig,0.5,5.063533782958984,5.100011825561523,5.111932754516602,10.076761245727539
mig,0.6,5.06281852722168,5.099296569824219,5.106687545776367,10.062217712402344
mig,0.7,4.994630813598633,5.044221878051758,5.045175552368164,10.039806365966797
mig,0.8,4.9991607666015625,5.045413970947266,5.044221878051758,10.02192497253418
mig,0.9,5.07807731628418,5.118846893310547,5.118370056152344,10.123729705810547
mig,1.0,5.08570671081543,5.121946334838867,5.126714706420898,11.367082595825195
