mode,load,0_squeezenet1_0-8,1_squeezenet1_0-8,2_squeezenet1_0-8,3_squeezenet1_0-8
mig,0.1,5.119562149047852,5.341291427612305,5.146265029907227,10.097265243530273
mig,0.2,5.080699920654297,5.13005256652832,5.133390426635742,10.107278823852539
mig,0.3,5.053043365478516,5.099773406982422,5.1021575927734375,10.07533073425293
mig,0.4,5.050897598266602,5.089282989501953,5.090236663818359,10.056257247924805
mig,0.5,5.045890808105469,5.085468292236328,5.096673965454102,10.047435760498047
mig,0.6,5.048036575317383,5.084991455078125,5.092620849609375,10.046958923339844
mig,0.7,4.97746467590332,5.013227462768555,5.016803741455078,9.989500045776367
mig,0.8,4.979372024536133,5.0182342529296875,5.024909973144531,9.991168975830078
mig,0.9,4.980802536010742,5.017995834350586,5.024909973144531,9.998559951782227
mig,1.0,5.055665969848633,5.085945129394531,5.087614059448242,10.053157806396484
