mode,load,0_squeezenet1_0-8,1_squeezenet1_0-8,2_squeezenet1_0-8,3_squeezenet1_0-8
mig,0.1,5.637884140014648,5.682468414306641,5.684852600097656,10.662555694580078
mig,0.2,5.663394927978516,5.6915283203125,5.696535110473633,10.694026947021484
mig,0.3,5.668878555297852,5.699872970581055,5.70225715637207,10.709285736083984
mig,0.4,5.672693252563477,5.70368766784668,5.741596221923828,10.705113410949707
mig,0.5,5.646228790283203,5.67471981048584,5.690813064575195,10.699748992919922
mig,0.6,5.463361740112305,5.481123924255371,5.567789077758789,10.57744026184082
mig,0.7,5.220651626586914,5.247592926025391,5.273938179016113,10.264396667480469
mig,0.8,5.168437957763672,5.207538604736328,5.205273628234863,10.206937789916992
mig,0.9,5.160689353942871,5.2089691162109375,5.2127838134765625,10.228157043457031
mig,1.0,5.277156829833984,5.315065383911133,5.314111709594727,10.357499122619629
