mode,load,0_densenet169-8,1_efficientnet_b6-8,2_mobilenet_v3_small-32
mps-uncap,0.8,312.37959376185904,298.789842831288,5101.443782562094
mps-uncap,0.9,348.5334392552482,347.81406415199257,5866.4395284508655
mps-uncap,1.0,392.215843741363,384.9055349804174,6307.443635188533
mps-uncap,0.5,179.36922731430323,193.27831178534504,3213.2092698199963
mps-uncap,0.6,243.48924290968137,231.82743621673058,3903.962111360915
mps-uncap,0.7,250.6969811129034,268.55298925379464,4452.356793799129
mps-uncap,0.1,35.819703880781596,39.103734208525104,620.4087421486628
mps-uncap,0.2,80.51328114100959,81.97276848488535,1289.4659395233068
mps-uncap,0.3,119.39633932410234,115.33535506259325,1937.3811720764006
mps-uncap,0.4,150.59832925011867,148.85415598937158,2545.7087031356946
