mode,load,0_densenet169-8,1_efficientnet_b6-8,2_mobilenet_v3_small-32
mps-uncap,0.8,163.4500026702881,201.59006118774414,64.05949592590332
mps-uncap,0.9,172.23262786865234,280.25221824645996,96.22907638549805
mps-uncap,1.0,407.27949142456055,813.1363391876221,1698.5385417938232
mps-uncap,0.5,74.53799247741699,88.35864067077637,28.708219528198242
mps-uncap,0.6,84.23995971679688,115.85402488708496,28.232812881469727
mps-uncap,0.7,105.9870719909668,97.96929359436035,44.54445838928223
mps-uncap,0.1,51.169633865356445,46.75149917602539,18.962860107421875
mps-uncap,0.2,50.60386657714844,53.12013626098633,22.233963012695312
mps-uncap,0.3,52.66427993774414,49.97658729553223,26.617765426635742
mps-uncap,0.4,57.16395378112793,65.44733047485352,25.18630027770996
