mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,0.011920928955078125,0.011920928955078125,0.012159347534179688
mig,0.6,0.011444091796875,0.01239776611328125,0.011444091796875
mps-uncap,0.7,0.011205673217773438,0.014781951904296875,0.011682510375976562
mig,0.7,0.012159347534179688,0.01430511474609375,0.013589859008789062
mps-uncap,0.8,0.011444091796875,0.011682510375976562,0.01430511474609375
mig,0.8,0.012159347534179688,0.012159347534179688,0.013828277587890625
mps-uncap,0.9,0.012159347534179688,0.011682510375976562,0.014543533325195312
mig,0.9,0.011682510375976562,0.013828277587890625,0.013828277587890625
mps-uncap,1.0,0.014066696166992188,0.01239776611328125,0.014066696166992188
mig,1.0,0.0133514404296875,0.01430511474609375,0.01430511474609375
mps-uncap,1.1,0.0152587890625,0.014781951904296875,0.017404556274414062
mig,1.1,0.014543533325195312,0.029325485229492188,0.014781951904296875
mps-uncap,1.2,0.0152587890625,0.015497207641601562,0.015020370483398438
mig,1.2,0.014543533325195312,0.02288818359375,0.015020370483398438
mps-uncap,1.3,0.014543533325195312,0.014543533325195312,0.019073486328125
mig,1.3,0.014543533325195312,0.016689300537109375,0.017881393432617188
