mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,6.395590305328367,10.523569583892822,15.494160652160641
mig,0.6,6.1686706542968714,10.396339893341064,15.421872138977054
mps-uncap,0.7,5.699574947357178,9.913320541381832,15.047349929809569
mig,0.7,5.821895599365236,9.927034378051758,15.212750434875487
mps-uncap,0.8,5.426943302154541,9.946436882019045,14.998748302459719
mig,0.8,5.599684715270996,9.609231948852539,14.61943387985229
mps-uncap,0.9,5.4102325439453125,9.727468490600588,14.812650680541992
mig,0.9,5.473918914794922,9.50309753417969,14.62838888168335
mps-uncap,1.0,5.458202362060547,9.46519374847412,14.524087905883789
mig,1.0,5.326509475708008,9.264428615570068,14.300937652587887
mps-uncap,1.1,5.274057388305665,9.681010246276857,14.687774181365967
mig,1.1,5.388307571411132,9.226486682891862,14.233779907226559
mps-uncap,1.2,5.27212142944336,9.764409065246582,14.64940309524536
mig,1.2,5.326108932495117,9.07638549804688,14.27708148956299
mps-uncap,1.3,5.44156551361084,9.379091262817381,14.676332473754883
mig,1.3,5.442185401916507,9.38078880310058,14.35234308242798
