mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,4.94837760925293,8.899450302124023,13.72838020324707
mig,0.6,5.051136016845703,8.860468864440918,13.817429542541504
mps-uncap,0.7,4.895329475402832,8.796453475952148,13.643026351928711
mig,0.7,5.069255828857422,8.878350257873535,13.874053955078125
mps-uncap,0.8,4.820466041564941,9.02092456817627,13.863086700439453
mig,0.8,5.045652389526367,8.749961853027344,13.639569282531738
mps-uncap,0.9,4.967212677001953,8.972406387329102,13.971090316772461
mig,0.9,5.088567733764648,8.843660354614258,13.832569122314453
mps-uncap,1.0,4.960060119628906,8.968114852905273,13.779163360595703
mig,1.0,4.999399185180664,8.761167526245117,13.626337051391602
mps-uncap,1.1,4.926443099975586,8.99505615234375,13.958215713500977
mig,1.1,5.038022994995117,8.815526962280273,13.755559921264648
mps-uncap,1.2,4.926204681396484,9.097099304199219,13.97860050201416
mig,1.2,4.970788955688477,8.670330047607422,13.686895370483398
mps-uncap,1.3,4.9610137939453125,8.986711502075195,14.009475708007812
mig,1.3,4.957914352416992,8.843183517456055,13.684749603271484
