mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,467.85760355863033,130.7164521630171,85.9224641893079
mig,0.6,462.68068425602866,130.69448050636714,84.61815393705605
mps-uncap,0.7,565.5947538566771,152.71639722951107,99.30820720430118
mig,0.7,553.0820990495541,151.11489916519284,100.72308193358388
mps-uncap,0.8,621.3126536099909,176.0520808870436,113.64368175617571
mig,0.8,618.2495018602399,172.75055096600903,116.13137083383297
mps-uncap,0.9,707.8960858139819,197.02001790869394,130.76933748440592
mig,0.9,695.9519672319542,197.93029350975917,130.04366788899355
mps-uncap,1.0,791.0503466861848,216.5856643738111,142.72918800165584
mig,1.0,793.0903675388388,218.4320160994816,141.76751363738444
mps-uncap,1.1,807.7860559967658,220.20730196377576,142.76155458702098
mig,1.1,789.8867029665694,226.3095572852801,145.0443432762669
mps-uncap,1.2,807.887106681048,218.34760393782113,142.541683649456
mig,1.2,800.3926309190988,230.04974513251858,145.75989253186734
mps-uncap,1.3,800.2782977095617,221.77701163290817,142.39649655791558
mig,1.3,801.7314396526288,225.78536232284227,145.96812997700903
