mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,20.99857330322261,34.08098220825195,55.85120677947996
mig,0.6,19.4355177879333,38.58522176742559,60.09189605712893
mps-uncap,0.7,31.94326162338257,48.335962295532156,73.26394081115704
mig,0.7,33.25624465942383,55.74297904968262,109.32197332382196
mps-uncap,0.8,33.54382514953613,71.60043239593509,148.899405002594
mig,0.8,39.37932014465335,79.21134948730432,136.88983917236314
mps-uncap,0.9,84.72613334655762,179.64134216308614,297.27635383605957
mig,0.9,91.0183334350586,166.89027786254888,212.02574729919442
mps-uncap,1.0,583.2039093971252,407.4012875556945,1621.702823638916
mig,1.0,887.3690795898436,250.28112173080447,622.9406642913817
mps-uncap,1.1,6143.37739944458,8576.81827545166,8928.580615520477
mig,1.1,8510.033583641052,4836.329436302186,9662.006282806396
mps-uncap,1.2,12520.546383857727,16233.612642288208,17457.29427337646
mig,1.2,13301.371803283691,11595.87286233902,14893.04156780243
mps-uncap,1.3,18328.781921863556,20919.977655410767,22095.638155937195
mig,1.3,19239.264135360718,19311.22751712799,20583.203098773956
