mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,10.47372817993164,17.416954040527344,25.952196121215827
mig,0.6,9.70308780670166,17.075490951538082,28.61638069152832
mps-uncap,0.7,13.953328132629395,24.316978454589854,36.52048110961915
mig,0.7,15.359640121459961,23.060917854309082,50.17104148864749
mps-uncap,0.8,16.823291778564453,38.77792358398437,73.45104217529297
mig,0.8,22.122049331665043,39.56565856933594,69.49174404144287
mps-uncap,0.9,49.78585243225099,98.14577102661138,183.66885185241713
mig,0.9,50.61640739440919,89.55097198486327,129.38144207000735
mps-uncap,1.0,429.16443347930897,251.09703540802002,1360.2048397064211
mig,1.0,795.7371234893799,153.0747652053833,495.6441879272461
mps-uncap,1.1,5577.659606933594,8158.071517944336,8160.318779945374
mig,1.1,7722.970366477966,3977.5922536849976,8821.197986602783
mps-uncap,1.2,11615.346908569336,15056.640863418588,15779.57820892334
mig,1.2,12384.47017669678,10598.365879058836,13285.801100730896
mps-uncap,1.3,16615.235710144043,19040.545749664314,20535.34507751465
mig,1.3,17538.17648887634,17970.064973831177,18474.945449829105
