mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,15.423297882080078,26.314616203308105,39.60099220275879
mig,0.6,14.74294662475586,25.893545150756832,42.327618598937995
mps-uncap,0.7,18.831253051757812,33.115720748901374,50.123119354248054
mig,0.7,20.403385162353516,31.9291353225708,63.981032371521
mps-uncap,0.8,21.62623405456543,47.762322425842285,87.3694896697998
mig,0.8,27.187061309814453,48.23184013366698,83.31060409545898
mps-uncap,0.9,54.74090576171876,107.1201801300049,197.64690399169933
mig,0.9,55.68704605102539,98.370361328125,143.27392578125
mps-uncap,1.0,434.2041492462158,260.09278297424316,1374.0119457244873
mig,1.0,800.7921457290649,161.92340850830078,509.2813014984131
mps-uncap,1.1,5582.6873779296875,8166.991710662842,8174.244546890259
mig,1.1,7728.055715560913,3986.389708518982,8834.824562072754
mps-uncap,1.2,11620.475673675537,15065.616178512582,15793.67470741272
mig,1.2,12389.51487541199,10607.053875923155,13299.5450258255
mps-uncap,1.3,16620.133686065674,19049.44424629212,20549.354553222656
mig,1.3,17543.167829513546,17979.003715515137,18488.393759727478
