mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,14.066219329833984,19.4246768951416,16.999483108520508
mig,0.6,19.383668899536133,15.360832214355469,18.74375343322754
mps-uncap,0.7,18.721580505371094,17.832040786743164,27.67348289489746
mig,0.7,19.1497802734375,12.761116027832031,23.977279663085938
mps-uncap,0.8,17.399311065673828,14.044046401977539,17.758846282958984
mig,0.8,18.119096755981445,17.821311950683594,20.917892456054688
mps-uncap,0.9,12.715816497802734,20.846128463745117,27.234792709350586
mig,0.9,19.021987915039062,18.683910369873047,20.435094833374023
mps-uncap,1.0,18.186330795288086,19.72365379333496,25.357723236083984
mig,1.0,18.44310760498047,20.830154418945312,24.106979370117188
mps-uncap,1.1,11.986970901489258,22.397518157958984,24.85346794128418
mig,1.1,19.05226707458496,18.615245819091797,24.130582809448242
mps-uncap,1.2,17.67563819885254,22.435426712036133,24.506807327270508
mig,1.2,19.066572189331055,21.026611328125,26.518821716308594
mps-uncap,1.3,18.573999404907227,20.24698257446289,27.627944946289062
mig,1.3,19.09041404724121,19.77062225341797,26.413917541503906
