mode,load,0_resnet50-4,1_inception_v3-2,2_resnet152-2
mps-uncap,0.6,25.959444046020504,43.00141334533693,69.33969974517815
mig,0.6,24.502842426300006,47.641315460205114,73.79770517349246
mps-uncap,0.7,36.83203458786011,57.21649169921858,86.96773529052706
mig,0.7,38.310909271240256,64.55439329147339,123.37089061737046
mps-uncap,0.8,38.445889949798584,80.69119930267335,162.81007289886477
mig,0.8,44.52008724212648,88.17053794860827,150.46970844268776
mps-uncap,0.9,89.60893630981445,188.62133026123055,311.61416053771984
mig,0.9,96.07566833496094,175.68232536315924,225.8410048484803
mps-uncap,1.0,588.3274292945862,416.3997149467468,1635.522184371948
mig,1.0,892.3473000526428,259.0878915786744,636.61470413208
mps-uncap,1.1,6148.216676712036,8586.105632781982,8942.46459722519
mig,1.1,8515.023970603943,4845.17970085144,9675.676965713501
mps-uncap,1.2,12525.53041934967,16242.710175514223,17471.360492706295
mig,1.2,13306.377415657043,11604.541614055634,14906.800951957704
mps-uncap,1.3,18333.861815929413,20929.266929626465,22109.73370075226
mig,1.3,19244.128680229187,19319.965696334835,20596.597068309784
